"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.613079230E-1,1.346000004E1,-1.427400017E1,-2.150000036E-1,1.962052259E1
6.662893850E-1,1.478899956E1,-1.347099972E1,-1.620000005E-1,2.000521395E1
6.712707090E-1,1.575699997E1,-1.259300041E1,-4.699999839E-2,2.017099195E1
6.762519390E-1,1.642499924E1,-1.163500023E1,3.190000057E-1,2.013096101E1
6.812333610E-1,1.660000038E1,-1.060400009E1,9.070000052E-1,1.971870887E1
6.862146710E-1,1.633900070E1,-9.527999878E0,1.672999978E0,1.898801344E1
6.911959020E-1,1.570699978E1,-8.482999802E0,2.523000002E0,1.802877302E1
6.961773320E-1,1.481099987E1,-7.524000168E0,3.269000053E0,1.693111506E1
7.011585650E-1,1.398299980E1,-6.801000118E0,3.792999983E0,1.600514714E1
7.061401010E-1,1.342099953E1,-6.375000000E0,4.067999840E0,1.540494972E1
7.111213480E-1,1.310200024E1,-6.159999847E0,4.275000095E0,1.509581512E1
7.161026560E-1,1.281499958E1,-5.986000061E0,4.147999763E0,1.473982066E1
7.210838870E-1,1.233199978E1,-5.808000088E0,3.480999947E0,1.406870442E1
7.260653460E-1,1.178299999E1,-5.685999870E0,2.698999882E0,1.335867822E1
7.310466560E-1,1.135499954E1,-5.657000065E0,2.002000093E0,1.284311756E1
7.360279020E-1,1.113199997E1,-5.695000172E0,1.302000046E0,1.257178008E1
7.410093610E-1,1.110799980E1,-5.790999889E0,6.309999824E-1,1.254278678E1
7.459906710E-1,1.126200008E1,-5.875000000E0,-1.129999980E-1,1.270279654E1
7.509721150E-1,1.142599964E1,-5.935999870E0,-7.049999833E-1,1.289521567E1
7.559533480E-1,1.169200039E1,-6.012000084E0,-1.146000028E0,1.319698201E1
7.609346640E-1,1.216199970E1,-6.170000076E0,-1.519000053E0,1.372189852E1
7.659158970E-1,1.285700035E1,-6.370999813E0,-1.860000014E0,1.446899087E1
7.708973560E-1,1.361200047E1,-6.515999794E0,-2.095999956E0,1.523607646E1
7.758786710E-1,1.638999939E1,-7.513000011E0,-4.192999840E0,1.851103716E1
7.808601310E-1,1.812999916E1,-8.031999588E0,-7.165999889E0,2.108462571E1
7.858414400E-1,1.767799950E1,-7.748000145E0,-7.880000114E0,2.084796331E1
7.908226610E-1,1.626899910E1,-7.328999996E0,-6.684000015E0,1.905440707E1
7.958041210E-1,1.437199974E1,-6.901999950E0,-4.508999825E0,1.656873741E1
8.007853630E-1,1.232999992E1,-6.514999866E0,-1.804999948E0,1.406172629E1
8.057666690E-1,1.076299953E1,-6.300000191E0,7.839999795E-1,1.249587201E1
8.107481310E-1,1.053999996E1,-6.098999977E0,3.002000093E0,1.254198567E1
8.157293340E-1,1.150000000E1,-6.094999790E0,4.504000187E0,1.377261922E1
8.207106400E-1,1.275199986E1,-6.223999977E0,5.125999928E0,1.508733082E1
8.256921020E-1,1.394600010E1,-6.250000000E0,5.380000114E0,1.620178447E1
8.306734300E-1,1.474199963E1,-6.165999889E0,5.383999825E0,1.686219327E1
8.356546610E-1,1.504100037E1,-6.087999821E0,5.017000198E0,1.698427875E1
8.406361020E-1,1.470899963E1,-6.117000103E0,3.941999912E0,1.641071978E1
8.456174110E-1,1.388599968E1,-6.324999809E0,2.776000023E0,1.550911944E1
8.505986420E-1,1.284899998E1,-6.622000217E0,1.980000019E0,1.458999957E1
8.555801160E-1,1.166600037E1,-6.920000076E0,1.690999985E0,1.366899581E1
8.605614250E-1,1.050599957E1,-7.127999783E0,1.674999952E0,1.280585931E1
8.655428850E-1,9.421999931E0,-7.239999771E0,1.621999979E0,1.199260453E1
8.705241090E-1,8.494000435E0,-7.327000141E0,1.409000039E0,1.130567360E1
8.755054140E-1,7.866000175E0,-7.323999882E0,1.021000028E0,1.079617405E1
8.804868660E-1,7.494999886E0,-7.059999943E0,6.549999714E-1,1.031734692E1
8.854681760E-1,7.334000111E0,-6.461999893E0,3.339999914E-1,9.780416977E0
8.904494060E-1,7.230000019E0,-5.736000061E0,1.580000073E-1,9.230360826E0
8.954308610E-1,7.100999832E0,-5.208000183E0,3.549999893E-1,8.813256465E0
9.004121710E-1,6.833000183E0,-5.026999950E0,8.909999728E-1,8.529624901E0
9.053934020E-1,6.452000141E0,-5.014999866E0,1.754999995E0,8.358143003E0
9.103748560E-1,6.074999809E0,-5.034999847E0,2.815000057E0,8.377414367E0
9.153560890E-1,5.664999962E0,-5.098000050E0,3.960000038E0,8.588563872E0
9.203374050E-1,5.613999844E0,-5.243000031E0,4.934000015E0,9.129644008E0
9.253188660E-1,5.817999840E0,-5.459000111E0,5.932000160E0,9.941751870E0
9.303001760E-1,6.065999985E0,-5.624000072E0,6.778999805E0,1.069488527E1
9.352814120E-1,6.197999954E0,-5.802999973E0,7.485000134E0,1.131880025E1
9.402628710E-1,6.284999847E0,-6.041999817E0,7.925000191E0,1.178187646E1
9.452441810E-1,6.361999989E0,-6.265999794E0,8.305000305E0,1.219470489E1
9.502254210E-1,6.291999817E0,-6.298999786E0,8.680000305E0,1.243418937E1
9.552068800E-1,6.046000004E0,-6.257999897E0,8.791999817E0,1.236996118E1
9.601882330E-1,5.631000042E0,-6.335999966E0,8.611000061E0,1.208314442E1
9.651696920E-1,5.172999859E0,-6.546000004E0,8.473999977E0,1.189196028E1
9.701509250E-1,4.789000034E0,-6.754000187E0,8.645999908E0,1.197097967E1
9.751322170E-1,4.554999828E0,-7.072000027E0,8.710000038E0,1.210889378E1
9.801136780E-1,4.409999847E0,-7.539999962E0,8.611000061E0,1.226576619E1
9.850949980E-1,4.288000107E0,-7.843999863E0,8.532999992E0,1.235829145E1
9.900762290E-1,4.271999836E0,-7.979000092E0,8.293999672E0,1.227619060E1
9.950576880E-1,4.256999969E0,-7.368000031E0,7.552999973E0,1.137792959E1
1.000038988E0,5.567999840E0,-3.322000027E0,1.325999975E0,6.617898634E0
1.005020219E0,5.922999859E0,-3.341000080E0,1.192999959E0,6.904162351E0
1.010001679E0,6.300000191E0,-3.588000059E0,1.128999949E0,7.337464665E0
1.014982973E0,6.639999866E0,-3.989000082E0,9.459999800E-1,7.803629658E0
1.019964433E0,6.716000080E0,-4.323999882E0,8.450000286E-1,8.032163912E0
1.024945666E0,6.474999905E0,-4.532000065E0,8.320000172E-1,7.947129820E0
1.029926991E0,5.987999916E0,-4.657999992E0,9.940000176E-1,7.651218397E0
1.034908224E0,5.471000195E0,-4.855000019E0,1.333999991E0,7.435215148E0
1.039889684E0,5.149000168E0,-5.232999802E0,1.766000032E0,7.550844043E0
1.044870993E0,4.958000183E0,-5.727000237E0,2.285000086E0,7.912112418E0
1.049852224E0,4.841000080E0,-6.243000031E0,2.813999891E0,8.386234348E0
1.054833765E0,4.756999969E0,-6.808000088E0,3.177000046E0,8.892201257E0
1.059814997E0,4.577000141E0,-7.262000084E0,3.255000114E0,9.180446681E0
1.064796462E0,4.368999958E0,-7.708000183E0,3.075000048E0,9.378542144E0
1.069777695E0,4.152999878E0,-8.196999550E0,2.783999920E0,9.601503276E0
1.074759000E0,3.947999954E0,-8.762000084E0,2.447000027E0,9.917013575E0
1.079740481E0,3.802000046E0,-9.241000175E0,2.214999914E0,1.023511178E1
1.084721791E0,3.637000084E0,-9.619999886E0,2.107000113E0,1.049817207E1
1.089703026E0,3.453000069E0,-9.928000450E0,2.096999884E0,1.071847988E1
1.094684486E0,3.280999899E0,-1.031299973E1,2.230999947E0,1.104989975E1
1.099665796E0,3.112999916E0,-1.070400047E1,2.483999968E0,1.142088659E1
1.104647064E0,2.905999899E0,-1.103199959E1,2.901000023E0,1.177139123E1
1.109628524E0,2.723999977E0,-1.137399960E1,3.483000040E0,1.220325088E1
1.114609834E0,2.615000010E0,-1.185099983E1,4.164999962E0,1.283088644E1
1.119591308E0,2.378999949E0,-1.234799957E1,4.828000069E0,1.347005267E1
1.124572541E0,1.930999994E0,-1.282600021E1,5.269999981E0,1.400028365E1
1.129553804E0,1.256999969E0,-1.314099979E1,5.508999825E0,1.430437009E1
1.134535037E0,4.749999940E-1,-1.331299973E1,5.605000019E0,1.445259879E1
1.139516480E0,-3.009999990E-1,-1.345300007E1,5.593999863E0,1.457280503E1
1.144497790E0,-9.499999881E-1,-1.372399998E1,5.572000027E0,1.484243442E1
1.149479249E0,-1.501000047E0,-1.405500031E1,5.527999878E0,1.517744436E1
1.154460473E0,-1.955999970E0,-1.432199955E1,5.422999859E0,1.543873487E1
1.159441779E0,-2.405999899E0,-1.440499973E1,5.250999928E0,1.551985351E1
1.164423192E0,-2.759999990E0,-1.437399960E1,5.013999939E0,1.547157586E1
1.169404425E0,-3.101999998E0,-1.431599998E1,4.777999878E0,1.540777539E1
1.174385731E0,-3.371000051E0,-1.428100014E1,4.714000225E0,1.541208631E1
1.179367206E0,-3.559999943E0,-1.447000027E1,4.859000206E0,1.567368464E1
1.184348516E0,-3.934000015E0,-1.474499989E1,5.033999920E0,1.606961521E1
1.189329747E0,-4.665999889E0,-1.503100014E1,5.294000149E0,1.660508831E1
1.194311206E0,-5.873000145E0,-1.515600014E1,5.381000042E0,1.712167142E1
1.199292516E0,-7.488999844E0,-1.507299995E1,5.341000080E0,1.765804995E1
1.204273976E0,-9.215000153E0,-1.473900032E1,5.256000042E0,1.815984292E1
1.209255213E0,-1.093999958E1,-1.433100033E1,5.176000118E0,1.875772210E1
1.214236519E0,-1.254199982E1,-1.380500031E1,5.020999908E0,1.931554382E1
1.219218005E0,-1.404800034E1,-1.302200031E1,4.886000156E0,1.976845475E1
1.224199237E0,-1.515299988E1,-1.172000027E1,4.738999844E0,1.973397910E1
1.229180514E0,-1.550500011E1,-1.040699959E1,4.407999992E0,1.918700427E1
1.234161976E0,-1.524699974E1,-9.309000015E0,3.946000099E0,1.829479159E1
1.239143199E0,-1.483199978E1,-8.460000038E0,3.421000004E0,1.741444972E1
1.244124504E0,-1.432600021E1,-7.635000229E0,2.546999931E0,1.643212461E1
1.249105966E0,-1.390900040E1,-6.867000103E0,1.417000055E0,1.557638827E1
1.254087204E0,-1.350199986E1,-6.204999924E0,2.389999926E-1,1.486146511E1
1.259068509E0,-1.309200001E1,-5.592000008E0,-9.760000110E-1,1.426967078E1
1.264049966E0,-1.251500034E1,-5.012000084E0,-2.368000031E0,1.368768799E1
1.269031276E0,-1.188599968E1,-4.619999886E0,-3.657000065E0,1.326631210E1
1.274012506E0,-1.094099998E1,-4.380000114E0,-4.731999874E0,1.269967340E1
1.278993981E0,-1.013700008E1,-4.021999836E0,-5.572999954E0,1.224718669E1
1.283975291E0,-9.513999939E0,-3.540999889E0,-6.094999790E0,1.184077267E1
1.288956521E0,-8.953000069E0,-2.910000086E0,-6.525000095E0,1.145425410E1
