"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.184076800E-1,5.499999970E-2,2.619999945E-1,-2.800000086E-2,2.691709441E-1
7.233889890E-1,5.700000003E-2,2.860000134E-1,5.299999937E-2,2.964017672E-1
7.283702220E-1,2.300000004E-2,2.790000141E-1,1.019999981E-1,2.979496727E-1
7.333516580E-1,4.999999888E-3,2.540000081E-1,1.000000015E-1,2.730219852E-1
7.383328900E-1,-7.000000030E-2,2.070000023E-1,5.999999866E-2,2.266031792E-1
7.433141960E-1,-1.640000045E-1,2.249999940E-1,3.799999878E-2,2.810071151E-1
7.482954390E-1,-2.230000049E-1,2.759999931E-1,-4.000000190E-3,3.548534886E-1
7.532766700E-1,-2.389999926E-1,3.449999988E-1,-5.799999833E-2,4.236861993E-1
7.582581290E-1,-1.889999956E-1,3.339999914E-1,-1.099999994E-1,3.992204810E-1
7.632394290E-1,-1.220000014E-1,2.879999876E-1,-1.689999998E-1,3.555122967E-1
7.682206600E-1,-7.699999958E-2,2.259999961E-1,-3.009999990E-1,3.841952597E-1
7.732021290E-1,-5.099999905E-2,1.749999970E-1,-4.420000017E-1,4.781108662E-1
7.781833620E-1,-6.599999964E-2,1.560000032E-1,-5.690000057E-1,5.936775282E-1
7.831645970E-1,-9.399999678E-2,1.289999932E-1,-6.980000138E-1,7.160174697E-1
7.881459020E-1,-1.250000000E-1,1.019999981E-1,-8.209999800E-1,8.367018386E-1
7.931271350E-1,-1.230000034E-1,7.699999958E-2,-9.029999971E-1,9.145856962E-1
7.981086150E-1,-1.180000007E-1,-1.099999994E-2,-9.700000286E-1,9.772129019E-1
8.030898480E-1,-9.399999678E-2,-8.200000226E-2,-1.031999946E0,1.039511370E0
8.080711530E-1,-6.700000167E-2,-1.739999950E-1,-1.101999998E0,1.117662290E0
8.130523810E-1,-8.799999952E-2,-2.520000041E-1,-1.208999991E0,1.238115092E0
8.180338410E-1,-1.319999993E-1,-2.939999998E-1,-1.309000015E0,1.348087920E0
8.230150680E-1,-1.809999943E-1,-3.300000131E-1,-1.409000039E0,1.458403962E0
8.279963740E-1,-1.969999969E-1,-3.869999945E-1,-1.577999949E0,1.636661796E0
8.329776070E-1,-1.850000024E-1,-4.869999886E-1,-1.746000051E0,1.822062065E0
8.379590710E-1,-9.799999744E-2,-6.309999824E-1,-1.870000005E0,1.976022519E0
8.429403040E-1,4.800000042E-2,-7.279999852E-1,-2.003000021E0,2.131735692E0
8.479216100E-1,1.609999985E-1,-8.169999719E-1,-2.171999931E0,2.326154263E0
8.529030510E-1,2.380000055E-1,-9.499999881E-1,-2.309000015E0,2.508111850E0
8.578842840E-1,2.300000042E-1,-1.149999976E0,-2.502000093E0,2.763223555E0
8.628656000E-1,1.620000005E-1,-1.432000041E0,-2.690000057E0,3.051715653E0
8.678468330E-1,1.190000027E-1,-1.728000045E0,-2.927000046E0,3.401099002E0
8.728282920E-1,1.110000014E-1,-2.036999941E0,-3.290999889E0,3.871998196E0
8.778095300E-1,7.900000364E-2,-2.306999922E0,-3.739000082E0,4.394156489E0
8.827907610E-1,9.000000358E-2,-2.556999922E0,-4.214000225E0,4.929923579E0
8.877720570E-1,1.990000010E-1,-2.773999929E0,-4.685999870E0,5.449153273E0
8.927535180E-1,3.770000041E-1,-2.976999998E0,-5.126999855E0,5.940604810E0
8.977347510E-1,4.970000088E-1,-3.269000053E0,-5.610000134E0,6.511948392E0
9.027160480E-1,5.410000086E-1,-3.654000044E0,-6.236000061E0,7.247902737E0
9.076972800E-1,4.560000002E-1,-4.151999950E0,-6.966000080E0,8.122327050E0
9.126785360E-1,1.959999949E-1,-4.783999920E0,-7.782000065E0,9.136990546E0
9.176599960E-1,-1.420000046E-1,-5.487999916E0,-8.576000214E0,1.018263653E1
9.226412230E-1,-4.799999893E-1,-6.166999817E0,-9.369000435E0,1.122677406E1
9.276225290E-1,-7.760000229E-1,-6.752999783E0,-1.006200027E1,1.214285929E1
9.326037620E-1,-1.067999959E0,-7.192999840E0,-1.062699986E1,1.287683954E1
9.375852360E-1,-1.325000048E0,-7.534999847E0,-1.099899960E1,1.339812822E1
9.425664680E-1,-1.560999990E0,-7.823999882E0,-1.125100040E1,1.379263228E1
9.475477600E-1,-1.855000019E0,-8.029999733E0,-1.138399982E1,1.405408740E1
9.525289930E-1,-2.188999891E0,-8.296999931E0,-1.154599953E1,1.438547995E1
9.575104520E-1,-2.444000006E0,-8.748000145E0,-1.164099979E1,1.476528086E1
9.624916850E-1,-2.612999916E0,-9.428999901E0,-1.178499985E1,1.531731142E1
9.674729910E-1,-2.625000000E0,-1.018099976E1,-1.189700031E1,1.587709033E1
9.724541750E-1,-2.542000055E0,-1.086200047E1,-1.185799980E1,1.628057056E1
9.774356340E-1,-2.348999977E0,-1.152000046E1,-1.157900047E1,1.650155942E1
9.824168630E-1,-2.075000048E0,-1.215299988E1,-1.127499962E1,1.670708376E1
9.873981690E-1,-1.833999991E0,-1.277900028E1,-1.076500034E1,1.680927234E1
9.923794010E-1,-1.600000024E0,-1.346599960E1,-1.011299992E1,1.691643913E1
9.973608410E-1,-1.375000000E0,-1.415699959E1,-9.439000130E0,1.707061762E1
1.002342074E0,-1.205000043E0,-1.474100018E1,-8.744000435E0,1.718157894E1
1.007323379E0,-1.231999993E0,-1.528299999E1,-7.910999775E0,1.725316870E1
1.012304593E0,-1.322000027E0,-1.580300045E1,-7.066999912E0,1.736159541E1
1.017286053E0,-1.376000047E0,-1.621899986E1,-6.392000198E0,1.748733825E1
1.022267286E0,-1.601999998E0,-1.657900047E1,-5.600999832E0,1.757273057E1
1.027248591E0,-1.921000004E0,-1.692900085E1,-4.774000168E0,1.769385172E1
1.032229824E0,-2.204999924E0,-1.731800079E1,-4.030000210E0,1.791692155E1
1.037211255E0,-2.506999969E0,-1.749300003E1,-3.200000048E0,1.795912301E1
1.042192487E0,-2.898999929E0,-1.727799988E1,-2.076999903E0,1.764220533E1
1.047173793E0,-3.030999899E0,-1.663899994E1,-8.539999723E-1,1.693436138E1
1.052155031E0,-2.690000057E0,-1.595300007E1,2.399999946E-1,1.617998490E1
1.057136490E0,-2.157999992E0,-1.533899975E1,1.175999999E0,1.553463399E1
1.062117713E0,-1.307999969E0,-1.503299999E1,2.082000017E0,1.523275014E1
1.067099019E0,-5.120000243E-1,-1.508399963E1,2.809000015E0,1.535186210E1
1.072080252E0,1.030000001E-1,-1.522700024E1,3.144000053E0,1.554853310E1
1.077061711E0,2.579999864E-1,-1.544699955E1,2.954999924E0,1.572922069E1
1.082043021E0,-7.900000364E-2,-1.573099995E1,2.302000046E0,1.589873594E1
1.087024257E0,-7.879999876E-1,-1.567500019E1,1.644000053E0,1.578066257E1
1.092005488E0,-1.629999995E0,-1.507900047E1,9.049999714E-1,1.519382046E1
1.096986947E0,-2.361999989E0,-1.435200024E1,3.370000124E-1,1.454896985E1
1.101968175E0,-3.071000099E0,-1.398600006E1,-1.010000035E-1,1.431954749E1
1.106949481E0,-3.671000004E0,-1.400899982E1,6.899999827E-2,1.448216414E1
1.111930699E0,-3.602999926E0,-1.393000031E1,8.859999776E-1,1.441566901E1
1.116912159E0,-2.865999937E0,-1.356200027E1,1.993000031E0,1.400406570E1
1.121893392E0,-1.802999973E0,-1.309599972E1,3.302000046E0,1.362568243E1
1.126874716E0,-6.499999762E-1,-1.267800045E1,4.288000107E0,1.339929626E1
1.131855949E0,3.899999857E-1,-1.227900028E1,4.934999943E0,1.323934184E1
1.136837370E0,1.031000018E0,-1.182400036E1,5.453000069E0,1.306159084E1
1.141818602E0,9.779999852E-1,-1.125699997E1,6.306000233E0,1.293994479E1
1.146799908E0,6.090000272E-1,-1.021300030E1,7.816999912E0,1.287562596E1
1.151781141E0,3.240000010E-1,-8.795000076E0,9.760999680E0,1.314283520E1
1.156762601E0,4.490000010E-1,-7.467000008E0,1.162399960E1,1.382299015E1
1.161743857E0,6.019999981E-1,-6.191999912E0,1.377700043E1,1.511651440E1
1.166725163E0,8.470000029E-1,-4.916999817E0,1.601700020E1,1.677613160E1
1.171706396E0,1.508000016E0,-3.838999987E0,1.788400078E1,1.835345931E1
1.176687908E0,2.799999952E0,-3.115999937E0,1.915099907E1,1.960383179E1
1.181669141E0,4.678999901E0,-2.562000036E0,1.907699966E1,1.980880613E1
1.186650447E0,6.033999920E0,-3.069000006E0,2.049099922E1,2.158029113E1
1.191631899E0,6.926000118E0,-3.421000004E0,2.088199997E1,2.226500935E1
1.196613132E0,7.122000217E0,-3.196000099E0,2.021199989E1,2.166707741E1
1.201594438E0,6.478000164E0,-2.615000010E0,1.904500008E1,2.028582606E1
1.206575666E0,5.423999786E0,-1.840000033E0,1.784000015E1,1.873688820E1
1.211557125E0,4.527999878E0,-1.070000052E0,1.654299927E1,1.718483366E1
1.216538358E0,3.723999977E0,-6.110000014E-1,1.532499981E1,1.578281078E1
1.221519589E0,3.030999899E0,-5.640000105E-1,1.466199970E1,1.498263300E1
1.226500894E0,2.743000031E0,-7.379999757E-1,1.455300045E1,1.482762676E1
1.231482127E0,2.763999939E0,-7.350000143E-1,1.490299988E1,1.517495720E1
1.236463587E0,2.857000113E0,-3.670000136E-1,1.550599957E1,1.577127646E1
1.241444820E0,3.019999981E0,2.329999954E-1,1.607200050E1,1.635493470E1
1.246426154E0,3.253999949E0,1.034999967E0,1.664699936E1,1.699359668E1
1.251407387E0,3.371999979E0,1.830000043E0,1.702199936E1,1.744900416E1
1.256388847E0,3.302000046E0,2.405999899E0,1.722999954E1,1.770776451E1
1.261370083E0,3.053999901E0,2.765000105E0,1.755299950E1,1.802997316E1
1.266351389E0,2.569999933E0,3.221999884E0,1.786899948E1,1.833813855E1
1.271332584E0,2.914999962E0,-1.320000052E0,6.427700043E1,6.435660346E1
1.276314043E0,1.516000032E0,8.991000175E0,9.800999641E0,1.338640856E1
1.281295266E0,1.983000040E0,9.041000366E0,6.059999943E0,1.106325341E1
1.286276572E0,1.085999966E0,6.905000210E0,6.421999931E0,9.492128683E0
1.291258033E0,1.879999995E0,2.585999966E0,7.521999836E0,8.173266014E0
1.296239286E0,2.736999989E0,-7.879999876E-1,1.031400013E1,1.070003325E1
1.301220592E0,3.118999958E0,-2.305000067E0,1.157999992E1,1.221218999E1
1.306201805E0,2.657999992E0,-2.165999889E0,1.118799973E1,1.170161772E1
1.311183264E0,1.389999986E0,-9.840000272E-1,9.149999619E0,9.307139681E0
1.316164497E0,7.199999690E-2,2.360000014E-1,6.895999908E0,6.900412650E0
1.321145749E0,-8.240000010E-1,1.006000042E0,5.357999802E0,5.513544591E0
1.326126982E0,-1.029999971E0,1.486999989E0,4.964000225E0,5.283310245E0
1.331108212E0,-7.500000000E-1,1.799999952E0,5.550000191E0,5.882601631E0
1.336089639E0,-2.619999945E-1,1.822999954E0,6.585999966E0,6.838667149E0
1.341070949E0,3.880000114E-1,1.639000058E0,7.499000072E0,7.685822486E0
1.346052179E0,1.126999974E0,1.444000006E0,8.369000435E0,8.567113472E0
1.351033458E0,1.809000015E0,1.399999976E0,9.154999733E0,9.436445364E0
1.356014918E0,2.309000015E0,1.577000022E0,9.717000008E0,1.011130552E1
1.360996154E0,2.477999926E0,1.932999969E0,1.066300011E1,1.111649872E1
1.365977460E0,2.503000021E0,2.334000111E0,1.162800026E1,1.212117798E1
1.370958922E0,2.710999966E0,2.489000082E0,1.226900005E1,1.280909851E1
1.375940121E0,3.019999981E0,2.158999920E0,1.261100006E1,1.314606417E1
1.380921427E0,3.273999929E0,1.391000032E0,1.280900002E1,1.329377441E1
1.385902660E0,3.408999920E0,3.829999864E-1,1.282499981E1,1.327586493E1
1.390884110E0,3.480000019E0,-5.960000157E-1,1.252400017E1,1.301215572E1
1.395865342E0,3.296999931E0,-1.524000049E0,1.157800007E1,1.213436732E1
1.400846638E0,2.762000084E0,-2.526999950E0,1.050300026E1,1.115021918E1
1.405827871E0,2.068000078E0,-3.223000050E0,9.460000038E0,1.020568245E1
1.410809330E0,1.338000059E0,-3.487999916E0,8.206000328E0,9.016364509E0
1.415790602E0,6.119999886E-1,-3.453000069E0,7.170000076E0,7.981644853E0
1.420771908E0,1.099999994E-2,-3.362999916E0,6.429999828E0,7.256361845E0
1.425753150E0,-3.689999878E-1,-3.283999920E0,5.859000206E0,6.726715386E0
1.430734609E0,-5.740000010E-1,-3.257999897E0,5.455999851E0,6.380593523E0
1.435715818E0,-6.340000033E-1,-3.293999910E0,5.304999828E0,6.276576662E0
1.440697049E0,-6.560000181E-1,-3.390000105E0,5.421000004E0,6.427260519E0
1.445678585E0,-6.719999909E-1,-3.457999945E0,5.738999844E0,6.733904277E0
1.450659818E0,-7.049999833E-1,-3.484999895E0,6.157000065E0,7.109915544E0
1.455641049E0,-7.530000210E-1,-3.497999907E0,6.659999847E0,7.560331365E0
1.460622364E0,-9.279999733E-1,-3.437000036E0,7.248000145E0,8.075125962E0
1.465603597E0,-1.274999976E0,-3.279999971E0,7.710999966E0,8.476057174E0
1.470585057E0,-1.618999958E0,-3.140000105E0,8.020999908E0,8.764542262E0
1.475566324E0,-1.853000045E0,-3.095999956E0,8.331000328E0,9.078787990E0
1.480547629E0,-1.929999948E0,-3.121999979E0,8.621999741E0,9.370734400E0
1.485528862E0,-1.825999975E0,-3.200000048E0,8.836999893E0,9.574280303E0
1.490510322E0,-1.621000051E0,-3.496000051E0,8.696000099E0,9.511575855E0
1.495491554E0,-1.373999953E0,-4.133999825E0,8.387999535E0,9.451791714E0
1.500472860E0,-1.014000058E0,-4.966000080E0,7.986000061E0,9.458623044E0
1.505454083E0,-9.279999733E-1,-6.107999802E0,7.059000015E0,9.380742334E0
